    ID             Name  Grade Class  Math  Chemistry  Physics  Biology  History  Average
0  101         John Doe     10     A    85         78       92       88       75     83.6
1  102       Jane Smith     10     B    90         85       88       82       78     84.6
2  103  Michael Johnson     10     C    78         92       85       90       80     81.0
3  104      Emily Davis     10     A    92         88       78       85       85     85.6
4  105  Christopher Lee     10     B    85         80       90       78       88     82.2
5  106    Sophie Turner     10     A    88         94       90       85       82     87.8
6  107    Andrew Wilson     10     B    82         85       87       90       94     85.6
7  108      Isaac Smith     10     C    90         78       85       92       88     86.6
8  109     Olivia Davis     10     A    85         90       78       88       92     86.6
9  110    Jack Robinson     10     C    78         92       85       90       80     81.0    ID             Name  Grade Class  Math  Chemistry  Physics  Biology  History  Average
0  201        Amy White     11     A    94         89       93       87       82     89.0
1  202    Robert Taylor     11     C    88         92       85       90       78     86.6
2  203     Olivia Brown     11     B    90         85       88       92       85     88.0
3  204     David Miller     11     A    85         90       94       78       88     87.0
4  205      Emma Wilson     11     C    92         88       85       80       90     87.0
5  206      Grace Smith     11     A    94         78       90       85       88     87.0
6  207    Lucas Johnson     11     B    90         85       88       92       85     88.0
7  208        Mia Davis     11     C    85         90       78       88       92     86.6
8  209      Charlie Lee     11     A    78         92       85       90       80     81.0
9  210  Sophia Martinez     11     C    85         80       90       78       88     82.2
